UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 23:24 ?        00:00:01 /sbin/init splash
root           2       0  0 23:24 ?        00:00:00 [kthreadd]
root           3       2  0 23:24 ?        00:00:00 [rcu_gp]
root           4       2  0 23:24 ?        00:00:00 [rcu_par_gp]
root           6       2  0 23:24 ?        00:00:00 [kworker/0:0H-events_highpri]
root           7       2  0 23:24 ?        00:00:00 [kworker/0:1-events]
root           8       2  0 23:24 ?        00:00:00 [kworker/u8:0-events_power_efficient]
root           9       2  0 23:24 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 23:24 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 23:24 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 23:24 ?        00:00:00 [ksoftirqd/0]
root          13       2  0 23:24 ?        00:00:00 [rcu_sched]
root          14       2  0 23:24 ?        00:00:00 [migration/0]
root          15       2  0 23:24 ?        00:00:00 [idle_inject/0]
root          16       2  0 23:24 ?        00:00:00 [cpuhp/0]
root          17       2  0 23:24 ?        00:00:00 [cpuhp/1]
root          18       2  0 23:24 ?        00:00:00 [idle_inject/1]
root          19       2  0 23:24 ?        00:00:00 [migration/1]
root          20       2  0 23:24 ?        00:00:00 [ksoftirqd/1]
root          22       2  0 23:24 ?        00:00:00 [kworker/1:0H-kblockd]
root          23       2  0 23:24 ?        00:00:00 [cpuhp/2]
root          24       2  0 23:24 ?        00:00:00 [idle_inject/2]
root          25       2  0 23:24 ?        00:00:00 [migration/2]
root          26       2  0 23:24 ?        00:00:00 [ksoftirqd/2]
root          28       2  0 23:24 ?        00:00:00 [kworker/2:0H-events_highpri]
root          29       2  0 23:24 ?        00:00:00 [cpuhp/3]
root          30       2  0 23:24 ?        00:00:00 [idle_inject/3]
root          31       2  0 23:24 ?        00:00:00 [migration/3]
root          32       2  0 23:24 ?        00:00:00 [ksoftirqd/3]
root          34       2  0 23:24 ?        00:00:00 [kworker/3:0H-events_highpri]
root          35       2  0 23:24 ?        00:00:00 [kdevtmpfs]
root          36       2  0 23:24 ?        00:00:00 [netns]
root          37       2  0 23:24 ?        00:00:00 [inet_frag_wq]
root          38       2  0 23:24 ?        00:00:00 [kauditd]
root          39       2  0 23:24 ?        00:00:00 [khungtaskd]
root          40       2  0 23:24 ?        00:00:00 [oom_reaper]
root          41       2  0 23:24 ?        00:00:00 [writeback]
root          42       2  0 23:24 ?        00:00:00 [kcompactd0]
root          43       2  0 23:24 ?        00:00:00 [ksmd]
root          44       2  0 23:24 ?        00:00:00 [khugepaged]
root          50       2  0 23:24 ?        00:00:00 [kworker/1:1-events]
root          91       2  0 23:24 ?        00:00:00 [kintegrityd]
root          92       2  0 23:24 ?        00:00:00 [kblockd]
root          93       2  0 23:24 ?        00:00:00 [blkcg_punt_bio]
root          94       2  0 23:24 ?        00:00:00 [tpm_dev_wq]
root          95       2  0 23:24 ?        00:00:00 [ata_sff]
root          96       2  0 23:24 ?        00:00:00 [md]
root          97       2  0 23:24 ?        00:00:00 [edac-poller]
root          98       2  0 23:24 ?        00:00:00 [devfreq_wq]
root          99       2  0 23:24 ?        00:00:00 [watchdogd]
root         100       2  0 23:24 ?        00:00:00 [kworker/2:1-mm_percpu_wq]
root         101       2  0 23:24 ?        00:00:00 [kworker/u8:1-events_power_efficient]
root         102       2  0 23:24 ?        00:00:00 [kworker/0:1H-kblockd]
root         104       2  0 23:24 ?        00:00:00 [kswapd0]
root         105       2  0 23:24 ?        00:00:00 [ecryptfs-kthrea]
root         107       2  0 23:24 ?        00:00:00 [kthrotld]
root         108       2  0 23:24 ?        00:00:00 [acpi_thermal_pm]
root         110       2  0 23:24 ?        00:00:00 [scsi_eh_0]
root         111       2  0 23:24 ?        00:00:00 [scsi_tmf_0]
root         112       2  0 23:24 ?        00:00:00 [scsi_eh_1]
root         113       2  0 23:24 ?        00:00:00 [scsi_tmf_1]
root         115       2  0 23:24 ?        00:00:00 [vfio-irqfd-clea]
root         116       2  0 23:24 ?        00:00:00 [mld]
root         117       2  0 23:24 ?        00:00:00 [ipv6_addrconf]
root         123       2  0 23:24 ?        00:00:00 [kworker/3:1-cgroup_destroy]
root         128       2  0 23:24 ?        00:00:00 [kstrp]
root         131       2  0 23:24 ?        00:00:00 [zswap-shrink]
root         132       2  0 23:24 ?        00:00:00 [kworker/u9:0]
root         137       2  0 23:24 ?        00:00:00 [charger_manager]
root         161       2  0 23:24 ?        00:00:00 [kworker/2:1H-kblockd]
root         187       2  0 23:24 ?        00:00:00 [kworker/3:1H-kblockd]
root         188       2  0 23:24 ?        00:00:00 [kworker/1:3-events]
root         190       2  0 23:24 ?        00:00:00 [scsi_eh_2]
root         191       2  0 23:24 ?        00:00:00 [scsi_tmf_2]
root         194       2  0 23:24 ?        00:00:00 [kworker/1:1H-kblockd]
root         195       2  0 23:24 ?        00:00:00 [kworker/3:2-events]
root         197       2  0 23:24 ?        00:00:00 [kworker/2:2-events]
root         216       2  0 23:24 ?        00:00:00 [jbd2/sda5-8]
root         217       2  0 23:24 ?        00:00:00 [ext4-rsv-conver]
root         230       2  0 23:24 ?        00:00:00 [kworker/0:2-inet_frag_wq]
root         258       1  0 23:24 ?        00:00:00 /lib/systemd/systemd-journald
root         280       1  0 23:24 ?        00:00:00 /lib/systemd/systemd-udevd
root         281       2  0 23:24 ?        00:00:00 [ttm_swap]
root         282       2  0 23:24 ?        00:00:00 [irq/18-vmwgfx]
root         283       2  0 23:24 ?        00:00:00 [card0-crtc0]
root         284       2  0 23:24 ?        00:00:00 [card0-crtc1]
root         285       2  0 23:24 ?        00:00:00 [card0-crtc2]
root         286       2  0 23:24 ?        00:00:00 [card0-crtc3]
root         287       2  0 23:24 ?        00:00:00 [card0-crtc4]
root         288       2  0 23:24 ?        00:00:00 [card0-crtc5]
root         289       2  0 23:24 ?        00:00:00 [card0-crtc6]
root         290       2  0 23:24 ?        00:00:00 [card0-crtc7]
root         298       2  0 23:24 ?        00:00:00 [loop0]
root         303       2  0 23:24 ?        00:00:00 [loop1]
root         311       2  0 23:24 ?        00:00:00 [loop2]
root         312       2  0 23:24 ?        00:00:00 [loop3]
root         314       2  0 23:24 ?        00:00:00 [loop4]
root         339       2  0 23:24 ?        00:00:00 [loop5]
root         342       2  0 23:24 ?        00:00:00 [loop6]
root         343       2  0 23:24 ?        00:00:00 [loop7]
root         344       2  0 23:24 ?        00:00:00 [loop8]
